            ADDRESS            DATA IN                 WD           DATA OUT
                023               A25B                  1               0000
                023               A25B                  0               A25B
                024               1234                  1               A25B
                024               1234                  0               1234
                025               9875                  1               1234
                025               9875                  0               9875
                026               ABCD                  1               9875
                026               ABCD                  0               ABCD
                027               B832                  1               ABCD
                027               B832                  0               B832
                028               8736                  1               B832
                028               8736                  0               8736
