      CLEAR         UP       DOWN        WPC       DATA  SP OUTPUT  PC OUTPUT
          1          0          0          0       0000        000       0000
          0          0          0          0       0000        000       0000
          0          0          0          0       0000        000       0001
          0          0          0          0       0000        000       0002
          0          0          0          0       0000        000       0003
          0          1          0          1       0060        000       0004
          0          0          0          0       0000        001       0060
          0          0          0          0       0000        001       0061
          0          0          0          0       0000        001       0062
          0          1          0          1       0140        001       0063
          0          0          0          0       0000        010       0140
          0          0          0          0       0000        010       0141
          0          0          0          0       0000        010       0142
          0          0          0          1       1000        010       0143
          0          0          0          0       0000        010       1000
          0          0          0          0       0000        010       1001
          0          0          1          0       0000        010       1002
          0          0          0          0       0000        001       0064
          0          0          0          0       0000        001       0065
          0          0          0          0       0000        001       0066
          0          0          1          0       0000        001       0067
          0          0          0          0       0000        000       0005
          0          0          0          0       0000        000       0006
